Date,ABI.BR,AD.AS,ADSGn.DE,ADYEN.AS,AIR.PA,AIRP.PA,ALVG.DE,ASML.AS,AXAF.PA,BASFn.DE,BAYGn.DE,BBVA.MC,BMWG.DE,BNPP.PA,CRH.I,DANO.PA,DB1Gn.DE,DPWGn.DE,DTEGn.DE,ENEI.MI,ENI.MI,ESLX.PA,FLTRF.I,HRMS.PA,IBE.MC,IFXGn.DE,INGA.AS,ISP.MI,ITX.MC,LINI.DE,LVMH.PA,MBGn.DE,MUVGn.DE,NDAFI.HE,NOKIA.HE,OREP.PA,PERP.PA,PRTP.PA,PRX.AS,SAF.PA,SAN.MC,SAPG.DE,SASY.PA,SCHN.PA,SGEF.PA,SIEGn.DE,STLAM.MI,TTEF.PA,VNAn.DE,VOWG_p.DE
2013-01-21,683043,1749514,679504,#N/A N/A,2416236,637454,980124,845008,2523349,1530780,853842,36838373,856386,1442582,955603,801500,532317,1784734,5621727,25577529,4916995,185493,14635,53679,28213104,2732420,9498859,93016114,2241280,#N/A N/A,567615,2804203,255288,350976,16644998,305743,408215,207082,#N/A N/A,360212,51196597,1915166,961622,749022,745127,1648927,#N/A N/A,1691022,#N/A N/A,21306
2013-01-22,1191254,1619319,622850,#N/A N/A,3005038,1068397,1531114,1957210,4403332,2444675,1949319,53057434,1554942,3001194,1933653,981526,738703,3506154,11466456,42944440,11049263,374509,4753,43383,19666195,6484412,12421243,160916300,2540750,#N/A N/A,558709,3329194,561244,718482,20334066,422234,444561,213548,#N/A N/A,464261,57848837,3145362,1316998,1249255,1539481,3769078,#N/A N/A,2522763,#N/A N/A,51466
2013-01-23,1536212,1870445,458077,#N/A N/A,2057351,1149239,1383076,1396671,7016220,1815960,1917282,43955730,1028652,3860879,1264493,1406479,747428,2591315,7813926,33277404,7258182,472884,5512,28128,22170603,5688821,20108022,204272655,7579240,#N/A N/A,567145,2745097,441166,645426,44906810,413947,257170,152061,#N/A N/A,399397,93161451,5619794,1755201,747574,1238274,4917714,#N/A N/A,2612949,#N/A N/A,46657
2013-01-24,914507,2346156,758485,#N/A N/A,1724079,807969,1394137,1851239,4982688,1722372,1612074,27585782,975244,3120269,4819192,1379797,1079115,2729296,8174786,33568450,9244086,372685,6037,26640,22229198,8291402,19861853,180329023,4249340,#N/A N/A,564985,2668511,465172,479896,142643698,392851,276377,198384,#N/A N/A,477082,56166022,2983695,1635773,951437,1091812,3004315,#N/A N/A,2654389,#N/A N/A,50350
2013-01-25,1500190,2616644,813683,#N/A N/A,1704842,868324,1602516,2460471,4421863,3231964,4092421,22982540,1454972,3538570,3328063,1221614,1041689,3236882,9454814,35223154,10815168,456154,6854,24855,17962039,6459034,17840741,235788010,3777765,#N/A N/A,578547,3542052,642377,1260031,63666289,451234,320578,262458,#N/A N/A,536499,37938685,3749245,2072405,1449280,1818208,2469361,#N/A N/A,3420231,#N/A N/A,77831
2013-01-28,1381273,2471314,675199,#N/A N/A,3566623,1049055,1299024,3382821,6201786,1966381,1949916,28246457,1074180,3392320,1576869,1200143,774971,4275061,8781288,37329418,7979467,316106,7077,17424,25097074,3763781,16169727,218072651,4626500,#N/A N/A,480872,2906880,471446,801553,28391878,436671,427667,498935,#N/A N/A,662820,42749656,2224474,1569308,1179285,1238729,1990038,#N/A N/A,2989202,#N/A N/A,57810
2013-01-29,1230460,2010006,627731,#N/A N/A,1910214,919005,1508947,1394399,4441293,1703339,3183887,34805598,1173346,3596990,1524859,887043,627915,3122886,11025977,40666046,7930476,323809,4533,19439,11613980,9881646,11981337,207117160,13164480,#N/A N/A,415147,3700426,500691,584863,21726930,442020,281819,211535,#N/A N/A,512337,39626674,2699118,1940744,1010904,875553,1501615,#N/A N/A,4727889,#N/A N/A,45828
2013-01-30,1574958,2154572,678031,#N/A N/A,3019976,1125460,1077715,1592882,5737616,2138074,1912605,48408152,1163550,4236583,1948107,1303951,1032287,3313889,9658129,47001584,45302021,468460,3957,19199,14114274,8767792,14362294,170941337,3982260,#N/A N/A,690158,3222980,482538,2690598,28486441,546383,349853,422437,#N/A N/A,644882,33122188,2056503,1908516,1139459,1191749,1778515,#N/A N/A,5751960,#N/A N/A,68121
2013-01-31,8241241,2873261,879006,#N/A N/A,1742410,1272856,1597664,1724252,7354872,2658301,2040741,37006553,1997021,3898523,2332321,2516180,741997,5501825,11623378,44919022,17890153,1033193,12644,29827,23851274,16833049,19175511,212310138,3922840,#N/A N/A,1090762,5166308,661740,1565973,66941858,1039189,1029998,312759,#N/A N/A,863972,78762982,3247726,3489988,1981903,1335831,2267507,#N/A N/A,6875297,#N/A N/A,80727
2013-02-01,5590628,2200158,897073,#N/A N/A,2579467,1442741,1533698,2075262,6584838,2374861,2663664,60727019,1837169,4388677,2314998,1542450,1141645,2679906,10237288,48182560,10433085,573367,15109,32318,53980708,11227679,27774105,219589214,8445355,#N/A N/A,1215364,3613298,667346,1109918,39402581,645477,611641,313230,#N/A N/A,1025884,202866076,3698407,1814727,1447385,1565427,2886773,#N/A N/A,4323932,#N/A N/A,78112
2013-02-04,3392622,2081244,1175711,#N/A N/A,1943529,1934961,2008430,1962672,10033126,3589108,2747325,48231347,2057850,5484208,2969833,1849305,1184071,5957781,13725652,61590865,14993076,615975,14895,34164,45864934,8185966,24672346,214458856,7208485,#N/A N/A,1303933,6129872,819056,1287498,35325933,696468,524308,289808,#N/A N/A,750706,97861861,3323756,3353904,2066637,2766186,4391805,#N/A N/A,6073779,#N/A N/A,66615
2013-02-05,2077558,1627078,1266661,#N/A N/A,1378391,978423,2174012,1571479,5574582,2581337,2360326,33922277,1972099,3976399,3719421,1858860,1166349,4344644,21774713,53681209,12161545,544202,6399,27247,38031094,10635646,26208361,183482744,8158520,#N/A N/A,718668,4694656,1293495,1082898,29823341,655908,962568,206921,#N/A N/A,708236,78580735,2313291,2850050,1481575,1808766,2409445,#N/A N/A,4379289,#N/A N/A,73755
